Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Alcatel,configure,,,,
Alcatel,configure,system,name <name>,,
Alcatel,configure,port,<port-id>,,
Alcatel,configure,port,<port-id>,no shutdown,,
Alcatel,configure,router,interface <name>,,
Alcatel,configure,router,interface <name>,address <address>/<prefix-length>,
Alcatel,configure,router,static-route <network>/<prefix-length> next-hop <ip-address>,,
Alcatel,configure,router,ospf,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name>,,
Alcatel,configure,router,bgp,,
Alcatel,configure,router,bgp,neighbor <ip-address> peer-as <as-number>,,
Alcatel,admin,display-config,,,
Alcatel,show,router,route-table,,
Alcatel,show,router,arp,,
Alcatel,show,router,interface,,
Alcatel,ping,<ip-address>,,,
Alcatel,traceroute,<ip-address>,,,
Alcatel,configure,vlan,<vlan-id>,,
Alcatel,show,vlan,info,,
Alcatel,configure,router,mpls lsp <name>,,,
Alcatel,show,router,mpls lsp,,
Alcatel,configure,router,ldp,,
Alcatel,show,router,ldp,interface,,
Alcatel,configure,system,time ntp server <ip-address>,,,
Alcatel,show,system,time,,
Alcatel,configure,log,log-id <id>,,,
Alcatel,show,log,log-id,,
Alcatel,configure,router,isis,,
Alcatel,show,router,isis,adjacency,,
Alcatel,configure,router,rip,,
Alcatel,show,router,rip,neighbor,,
Alcatel,configure,filter,ip-filter <id>,,,
Alcatel,show,filter,ip <id>,,
Alcatel,configure,system,security user <name>,,,
Alcatel,show,system,security users,,
Alcatel,configure,router,ospf,area <area-id> authentication md5 <key>,,
Alcatel,show,router,ospf,database,,
Alcatel,configure,router,bgp,group <group-name>,,
Alcatel,show,router,bgp,summary,,
Alcatel,configure,port,<port-id>,mtu <value>,,
Alcatel,show,port,mtu,,
Alcatel,configure,router,vrf <name>,,,
Alcatel,show,router,vrf,,
Alcatel,configure,router,multicast,,
Alcatel,show,router,multicast,,
Alcatel,configure,router,pim,interface <interface-name>,,
Alcatel,show,router,pim,neighbor,,
Alcatel,configure,router,igmp,interface <interface-name>,,
Alcatel,show,router,igmp,group,,
Alcatel,configure,system,snmp community <string>,,,
Alcatel,show,system,snmp,,
Alcatel,configure,router,ospf,reference-bandwidth <value>,,
Alcatel,show,router,ospf,interface,,
Alcatel,configure,router,bgp,family ipv4,,
Alcatel,show,router,bgp,routes,,
Alcatel,configure,port,<port-id>,description <text>,,
Alcatel,show,port,description,,
