Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Arista,configure,,,,
Arista,hostname,<name>,,,
Arista,interface,<interface-type> <interface-number>,,,
Arista,interface,<interface-type> <interface-number>,ip address <address>/<prefix-length>,
Arista,interface,<interface-type> <interface-number>,no shutdown,
Arista,ip,route,<network>/<prefix-length> <next-hop>,,
Arista,router,ospf,<process-id>,,
Arista,router,ospf,<process-id>,network <network>/<prefix-length> area <area-id>,
Arista,router,bgp,<as-number>,,
Arista,router,bgp,<as-number>,neighbor <ip-address> remote-as <as-number>,
Arista,vlan,<vlan-id>,,,
Arista,vlan,<vlan-id>,name <name>,,
Arista,show,running-config,,,
Arista,show,ip,interface,brief,
Arista,show,ip,route,,
Arista,show,ip,arp,,
Arista,show,vlan,brief,,
Arista,show,interfaces,transceiver,,
Arista,ping,<ip-address>,,,
Arista,traceroute,<ip-address>,,,
Arista,bash,<linux-command>,,,
Arista,mlag,configuration,,,
Arista,mlag,configuration,domain-id <id>,,
Arista,show,mlag,,,
Arista,ip,access-list,<name>,,
Arista,ip,access-list,<name>,permit ip <source> <destination>,,
Arista,switchport,mode,access,,
Arista,switchport,access,vlan <vlan-id>,,
Arista,spanning-tree,mode,mstp,,
Arista,show,spanning-tree,,,
Arista,ip,dhcp,relay,,
Arista,show,ip,dhcp,relay,
Arista,show,mac,address-table,,
Arista,show,ip,ospf,neighbor,
Arista,show,ip,bgp,summary,
Arista,ip,virtual-router,mac-address <mac>,,
Arista,show,ip,virtual-router,,
Arista,snmp-server,community,<string> ro,,
Arista,show,snmp,,,
Arista,ip,vrf,<name>,,
Arista,show,ip,vrf,,
Arista,ip,route vrf <name>,<network>/<prefix-length> <next-hop>,,
Arista,show,ip,route vrf <name>,,
Arista,ip,multicast-routing,,,
Arista,show,ip,mroute,,,
Arista,ip,pim,sparse-mode,,
Arista,show,ip,pim,neighbor,
Arista,ip,igmp,join-group <group-address>,,
Arista,show,ip,igmp,groups,,
Arista,ip,ospf,cost <value>,,
Arista,show,ip,ospf,interface,
Arista,ip,bgp,community new-format,,
Arista,show,ip,bgp,community,
Arista,ip,rip,version 2,,
Arista,show,ip,rip,database,
Arista,ntp,server,<ip-address>,,
Arista,show,ntp,status,,
Arista,logging,host,<ip-address>,,
Arista,show,logging,,,
Arista,ip,http,server,,,
Arista,show,ip,http,server status,
Arista,ip,ssh,server,,,
Arista,show,ip,ssh,,
Arista,ip,nat,source static <source> <translated>,,
Arista,show,ip,nat,,
Arista,policy-map,<name>,,,
Arista,policy-map,<name>,class <class-name>,,
Arista,policy-map,<name>,class <class-name>,bandwidth <kbps>,
Arista,show,policy-map,,,
Arista,class-map,match-all <name>,,,
Arista,class-map,match-all <name>,match access-group <acl>,,
Arista,ip,cef,load-sharing algorithm,,
Arista,show,ip,cef,,
Arista,ip,route,profile,,
Arista,show,ip,route,profile,
Arista,ip,local,policy route-map <name>,,
Arista,show,ip,local,policy,
Arista,ip,policy,route-map <name>,,
Arista,show,ip,policy,,
Arista,ip,sla,<id>,,
Arista,show,ip,sla,,
Arista,ip,flow-export,destination <ip-address> <port>,,
Arista,show,ip,flow,export,
Arista,ip,flow-capture,mac,,
Arista,show,ip,flow,capture,
Arista,ip,route,static adjust-time <seconds>,,
Arista,show,ip,static,route,
Arista,ip,route,track <id>,,
Arista,show,ip,route,track,
Arista,ip,route,fallback,,
Arista,show,ip,route,fallback,
Arista,ip,route,summary,,
Arista,show,ip,route,summary,
Arista,ip,route,suppress,,
