Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Aruba,configure,terminal,,,
Aruba,hostname,<name>,,,
Aruba,interface,<interface-type> <interface-number>,,,
Aruba,interface,<interface-type> <interface-number>,ip address <address>/<prefix-length>,,
Aruba,interface,<interface-type> <interface-number>,no shutdown,,
Aruba,ip,route,<network>/<prefix-length> <next-hop>,,
Aruba,show,running-config,,,
Aruba,show,ip,interface,brief,
Aruba,show,ip,route,,
Aruba,show,arp,,,
Aruba,router,ospf,<process-id>,,
Aruba,router,ospf,<process-id>,network <network>/<prefix-length> area <area-id>,,
Aruba,router,bgp,<as-number>,,,
Aruba,router,bgp,<as-number>,neighbor <ip-address> remote-as <as-number>,,
Aruba,vlan,<vlan-id>,,,
Aruba,vlan,<vlan-id>,name <name>,,
Aruba,interface,vlan <vlan-id>,,,
Aruba,interface,vlan <vlan-id>,ip address <address>/<prefix-length>,,
Aruba,ping,<ip-address>,,,
Aruba,traceroute,<ip-address>,,,
Aruba,show,version,,,
Aruba,show,interface,<interface-type> <interface-number>,,
Aruba,show,interface,transceiver,,
Aruba,ip,access-list,standard <name>,,
Aruba,ip,access-list,standard <name>,permit <source>/<prefix-length>,,
Aruba,show,access-list,,,
Aruba,switchport,mode,access,,
Aruba,switchport,access,vlan <vlan-id>,,
Aruba,switchport,mode,trunk,,
Aruba,switchport,trunk,allowed vlan <vlan-list>,,
Aruba,show,vlan,brief,,
Aruba,spanning-tree,mode,mstp,,
Aruba,show,spanning-tree,,,
Aruba,ip,dhcp,relay,,
Aruba,show,ip,dhcp,relay,,
Aruba,show,mac-address-table,,,
Aruba,show,ip,ospf,neighbor,,
Aruba,show,ip,bgp,summary,,
Aruba,ip,vrf,<name>,,,
Aruba,show,ip,vrf,,
Aruba,ip,route,vrf <name> <network>/<prefix-length> <next-hop>,,
Aruba,show,ip,route vrf <name>,,
Aruba,snmp-server,community,<string> ro,,
Aruba,show,snmp-server,,,
Aruba,ntp,server,<ip-address>,,
Aruba,show,ntp,server,,
Aruba,logging,<ip-address>,,,
Aruba,show,logging,,,
Aruba,ip,http,server,,,
Aruba,show,ip,http,server,,
Aruba,ssh,server,,,
Aruba,show,ssh,server,,
Aruba,aaa,authentication,login,local,,
Aruba,show,aaa,authentication,,
Aruba,vsx,role,primary,,
Aruba,vsx,keepalive,peer <ip-address>,,
Aruba,show,vsx,status,,
Aruba,ip,multicast-routing,,,
Aruba,show,ip,mroute,,
Aruba,ip,pim,sparse-mode,,
Aruba,show,ip,pim,neighbor,,
Aruba,ip,igmp,join-group <group-address>,,
Aruba,show,ip,igmp,groups,,
Aruba,ip,ospf,cost <value>,,
Aruba,show,ip,ospf,interface,,
Aruba,ip,bgp,community new-format,,
Aruba,show,ip,bgp,community,,
Aruba,ip,rip,version 2,,
Aruba,show,ip,rip,database,,
Aruba,interface,<interface-type> <interface-number>,mtu <value>,,
Aruba,show,interface,mtu,,
Aruba,interface,<interface-type> <interface-number>,description <text>,,
Aruba,show,interface,description,,
Aruba,ip,policy,route-map <name>,,
Aruba,show,ip,policy,,
Aruba,ip,sla,<id>,,,
Aruba,show,ip,sla,,
Aruba,ip,flow-export,destination <ip-address> <port>,,
Aruba,show,ip,flow,export,,
Aruba,ip,route,profile,,
Aruba,show,ip,route,profile,,
Aruba,ip,route,static adjust-time <seconds>,,
Aruba,show,ip,static,route,,
Aruba,ip,route,track <id>,,
Aruba,show,ip,route,track,,
Aruba,ip,route,fallback,,
Aruba,show,ip,route,fallback,,
Aruba,ip,route,summary,,
Aruba,show,ip,route,summary,,
Aruba,ip,route,suppress,,
Aruba,show,ip,route,suppress,,
Aruba,ip,route,tag <value>,,
Aruba,show,ip,route,tag,,
