Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Broadcom,configure,terminal,,,
Broadcom,hostname,<name>,,,
Broadcom,interface,ethernet <interface-number>,,,
Broadcom,interface,ethernet <interface-number>,ip address <address>/<prefix-length>,,
Broadcom,interface,ethernet <interface-number>,no shutdown,,
Broadcom,ip,route,<network>/<prefix-length> <next-hop>,,
Broadcom,show,running-config,,,
Broadcom,show,ip,interface,brief,
Broadcom,show,ip,route,,
Broadcom,show,arp,,,
Broadcom,router,ospf,<process-id>,,,
Broadcom,router,ospf,<process-id>,network <network>/<prefix-length> area <area-id>,,
Broadcom,router,bgp,<as-number>,,,
Broadcom,router,bgp,<as-number>,neighbor <ip-address> remote-as <as-number>,,
Broadcom,vlan,<vlan-id>,,,
Broadcom,vlan,<vlan-id>,name <name>,,
Broadcom,interface,vlan <vlan-id>,,,
Broadcom,interface,vlan <vlan-id>,ip address <address>/<prefix-length>,,
Broadcom,ping,<ip-address>,,,
Broadcom,traceroute,<ip-address>,,,
Broadcom,show,version,,,
Broadcom,show,interface,ethernet <interface-number>,,
Broadcom,show,interface,transceiver,,
Broadcom,ip,access-list,<name>,,,
Broadcom,ip,access-list,<name>,permit ip <source>/<prefix-length> <destination>/<prefix-length>,,
Broadcom,show,ip,access-list,,,
Broadcom,switchport,mode,access,,
Broadcom,switchport,access,vlan <vlan-id>,,
Broadcom,switchport,mode,trunk,,
Broadcom,switchport,trunk,allowed vlan <vlan-list>,,
Broadcom,show,vlan,brief,,
Broadcom,spanning-tree,mode,mstp,,
Broadcom,show,spanning-tree,,,
Broadcom,ip,dhcp,relay,,
Broadcom,show,ip,dhcp,relay,,
Broadcom,show,mac,address-table,,
Broadcom,show,ip,ospf,neighbor,,
Broadcom,show,ip,bgp,summary,,
Broadcom,ip,vrf,<name>,,,
Broadcom,show,ip,vrf,,
Broadcom,ip,route,vrf <name> <network>/<prefix-length> <next-hop>,,
Broadcom,show,ip,route vrf <name>,,
Broadcom,snmp-server,community,<string> ro,,
Broadcom,show,snmp,community,,
Broadcom,ntp,server,<ip-address>,,
Broadcom,show,ntp,associations,,
Broadcom,logging,host,<ip-address>,,,
Broadcom,show,logging,,,
Broadcom,ip,http,server,,,
Broadcom,show,ip,http,server status,,
Broadcom,ip,ssh,server,,,
Broadcom,show,ip,ssh,,,
Broadcom,mlag,configuration,,,
Broadcom,mlag,configuration,domain-id <id>,,
Broadcom,show,mlag,,,
Broadcom,ip,multicast-routing,,,
Broadcom,show,ip,mroute,,
Broadcom,ip,pim,sparse-mode,,
Broadcom,show,ip,pim,neighbor,,
Broadcom,ip,igmp,join-group <group-address>,,
Broadcom,show,ip,igmp,groups,,
Broadcom,ip,ospf,cost <value>,,
Broadcom,show,ip,ospf,interface,,
Broadcom,ip,bgp,community new-format,,
Broadcom,show,ip,bgp,community,,
Broadcom,ip,rip,version 2,,
Broadcom,show,ip,rip,database,,
Broadcom,interface,ethernet <interface-number>,mtu <value>,,
Broadcom,show,interface,mtu,,
Broadcom,interface,ethernet <interface-number>,description <text>,,
Broadcom,show,interface,description,,
Broadcom,ip,policy,route-map <name>,,,
Broadcom,show,ip,policy,,
Broadcom,ip,sla,<id>,,,
Broadcom,show,ip,sla,,
Broadcom,ip,flow-export,destination <ip-address> <port>,,
Broadcom,show,ip,flow,export,,
Broadcom,ip,route,profile,,
Broadcom,show,ip,route,profile,,
Broadcom,ip,route,static adjust-time <seconds>,,
Broadcom,show,ip,static,route,,
