Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Extreme,configure,system,name <name>,,
Extreme,configure,vlan,<vlan-name>,,
Extreme,configure,vlan,<vlan-name>,ipaddress <address>/<prefix-length>,
Extreme,configure,vlan,<vlan-name>,add ports <port-list>,,
Extreme,configure,vlan,<vlan-name>,delete ports <port-list>,,
Extreme,show,configuration,,,
Extreme,show,iproute,,,
Extreme,show,iparp,,,
Extreme,configure,iproute,add <network>/<prefix-length> <gateway>,,
Extreme,enable,ospf,,,
Extreme,configure,ospf,add vlan <vlan-name> area <area-id>,,
Extreme,configure,bgp,AS-number <as-number>,,
Extreme,configure,bgp,add neighbor <ip-address> remote-AS <as-number>,,
Extreme,ping,<ip-address>,,,
Extreme,traceroute,<ip-address>,,,
Extreme,show,vlan,,,
Extreme,configure,ports,<port-list> display-string <string>,,
Extreme,show,ports,<port-list> info,,
Extreme,configure,account,admin <username> password <password>,,
Extreme,show,accounts,,,
Extreme,configure,snmp,add community <name> read-only,,
Extreme,show,snmp,community,,
Extreme,configure,ntp,server <ip-address>,,
Extreme,show,ntp,status,,
Extreme,configure,log,target syslog <ip-address>,,
Extreme,show,log,configuration,,
Extreme,enable,ssh2,,,
Extreme,show,ssh2,,,
Extreme,configure,access-list,<name>,,
Extreme,configure,access-list,<name>,add rule permit ip-source <address>/<prefix-length>,,
Extreme,show,access-list,,,
Extreme,configure,mlag,peer <peer-name>,,
Extreme,configure,mlag,peer <peer-name> port <port> vlan <vlan-name>,,
Extreme,show,mlag,peer <peer-name>,,
Extreme,configure,vlan,<vlan-name>,tag <vlan-id>,,
Extreme,configure,ports,<port-list> mode access vlan <vlan-name>,,
Extreme,configure,ports,<port-list> mode trunk vlan <vlan-name>,,
Extreme,show,ports,vlan,,
Extreme,enable,ipforwarding,vlan <vlan-name>,,
Extreme,show,ipforwarding,,,
Extreme,configure,ospf,router-id <ip-address>,,
Extreme,show,ospf,neighbor,,
Extreme,configure,bgp,router-id <ip-address>,,
