Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Huawei,sysname,<name>,,,
Huawei,interface,<interface-name>,,,
Huawei,interface,<interface-name>,ip address <address> <mask>,,
Huawei,interface,<interface-name>,undo shutdown,,
Huawei,display,current-configuration,,,
Huawei,display,ip,interface,brief,
Huawei,display,ip,routing-table,,
Huawei,display,arp,all,,
Huawei,ip,route-static,<network> <mask> <next-hop>,,
Huawei,ospf,<process-id>,,,
Huawei,ospf,<process-id>,area <area-id>,,
Huawei,ospf,<process-id>,area <area-id>,network <network> <wildcard>,
Huawei,bgp,<as-number>,,,
Huawei,bgp,<as-number>,peer <ip-address> as-number <as-number>,,
Huawei,vlan,<vlan-id>,,,
Huawei,interface,vlanif <vlan-id>,,,
Huawei,interface,vlanif <vlan-id>,ip address <address> <mask>,,
Huawei,ping,<ip-address>,,,
Huawei,tracert,<ip-address>,,,
Huawei,display,version,,,
Huawei,display,device,,,
Huawei,aaa,,,,
Huawei,aaa,local-user <username> password cipher <password>,,
Huawei,aaa,local-user <username> privilege level <level>,,
Huawei,user-interface,vty 0 4,authentication-mode aaa,,
Huawei,ntp-service,unicast-server <ip-address>,,,
Huawei,display,ntp-service,status,,
Huawei,snmp-agent,community read <string>,,,
Huawei,display,snmp-agent,community,,
Huawei,undo,http,server enable,,
Huawei,display,logbuffer,,,
Huawei,acl,number <acl-number>,,,
Huawei,acl,number <acl-number>,rule permit source <address> <wildcard>,,
Huawei,display,acl,all,,
Huawei,mpls,lsr-id <ip-address>,,,
Huawei,display,mpls,interface,,
Huawei,mpls,ldp,,,
Huawei,display,mpls,ldp,all,
Huawei,ip,pool,<name>,,,
Huawei,ip,pool,<name>,network <network> mask <mask>,,
Huawei,display,ip,pool,,,
Huawei,ip,vpn-instance,<name>,,,
Huawei,ip,vpn-instance,<name>,route-distinguisher <rd>,,
Huawei,display,ip,vpn-instance,,,
Huawei,ip,route-static,vpn-instance <name> <network> <mask> <next-hop>,,
Huawei,display,ip,routing-table vpn-instance <name>,,
Huawei,ip,multicast-routing,,,
Huawei,display,multicast,routing-table,,
Huawei,pim,sm,,,
Huawei,display,pim,interface,,
Huawei,igmp,enable,,,
Huawei,display,igmp,group,,
Huawei,display,interface,description,,
Huawei,interface,<interface-name>,description <text>,,
Huawei,ospf,<process-id>,authentication-mode md5 <key>,,
Huawei,display,ospf,peer,,
Huawei,bgp,<as-number>,network <network> <mask>,,
Huawei,display,bgp,routing-table,,
Huawei,rip,<process-id>,,,
Huawei,display,rip,database,,
Huawei,isis,<process-id>,,,
Huawei,display,isis,peer,,
Huawei,interface,<interface-name>,mtu <value>,,
Huawei,display,interface,mtu,,
Huawei,display,diagnostic-information,,,
Huawei,save,,,,
Huawei,display,saved-configuration,,,
Huawei,ssh,server enable,,,
Huawei,display,ssh,server status,,
Huawei,interface,<interface-name>,port link-type access,,
Huawei,interface,<interface-name>,port access vlan <vlan-id>,,
Huawei,interface,<interface-name>,port link-type trunk,,
Huawei,interface,<interface-name>,port trunk allow-pass vlan <vlan-id>,,
Huawei,display,vlan,summary,,
Huawei,display,port,vlan,,
Huawei,traffic,policy <name>,,,
