Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Mikrotik,/system,identity,set,name <name>,
Mikrotik,/interface,print,,,
Mikrotik,/interface,ethernet,set,<interface> name <name>,
Mikrotik,/ip,address,add,address <address>/<prefix> interface <interface>,
Mikrotik,/ip,address,print,,,
Mikrotik,/ip,route,add,dst-address <network>/<prefix> gateway <ip-address>,
Mikrotik,/ip,route,print,,,
Mikrotik,/ip,arp,print,,,
Mikrotik,/system,license,print,,,
Mikrotik,/ping,<ip-address>,,,
Mikrotik,/tool,traceroute,<ip-address>,,
Mikrotik,/ip,firewall,filter add,chain input action accept,,
Mikrotik,/ip,firewall,filter print,,,
Mikrotik,/ip,dhcp-server,add,interface <interface> name <name>,
Mikrotik,/ip,dhcp-server,print,,,
Mikrotik,/ip,dhcp-client,add,interface <interface>,,
Mikrotik,/ip,dhcp-client,print,,,
Mikrotik,/ip,dns,set,servers <ip-address>,,
Mikrotik,/ip,dns,print,,,
Mikrotik,/system,ntp,client set,enabled yes server <ip-address>,,
Mikrotik,/system,ntp,client print,,,
Mikrotik,/ip,route,rule add,action unreachable,,
Mikrotik,/ip,route,rule print,,,
Mikrotik,/interface,vlan,add,interface <interface> vlan-id <vlan-id>,
Mikrotik,/interface,vlan,print,,,
Mikrotik,/ip,firewall,nat add,chain srcnat action masquerade,,
Mikrotik,/ip,firewall,nat print,,,
Mikrotik,/ip,ospf,instance add,name <name>,,
Mikrotik,/ip,ospf,interface add,interface <interface>,,
Mikrotik,/ip,ospf,print,,,
Mikrotik,/ip,bgp,instance add,name <name> as <as-number>,,
Mikrotik,/ip,bgp,peer add,remote-address <ip-address> remote-as <as-number>,,
Mikrotik,/ip,bgp,print,,,
Mikrotik,/ip,rip,interface add,interface <interface>,,
Mikrotik,/ip,rip,print,,,
Mikrotik,/mpls,ldp,set,enabled yes,,
Mikrotik,/mpls,ldp,interface add,interface <interface>,,
Mikrotik,/mpls,ldp,print,,,
Mikrotik,/interface,bridge,add,name <name>,,
Mikrotik,/interface,bridge,port add,bridge <bridge> interface <interface>,
Mikrotik,/interface,bridge,print,,,
Mikrotik,/ip,hotspot,profile add,name <name>,,
Mikrotik,/ip,hotspot,user add,name <username> password <password>,,
Mikrotik,/ip,hotspot,print,,,
Mikrotik,/ip,ipsec,policy add,src-address <network> dst-address <network>,,
Mikrotik,/ip,ipsec,print,,,
Mikrotik,/ip,snmp,set,enabled yes,,
Mikrotik,/ip,snmp,print,,,
Mikrotik,/system,logging,add,topics info,,
Mikrotik,/system,logging,print,,,
Mikrotik,/interface,wireless,set,<interface> mode ap-bridge,,
Mikrotik,/interface,wireless,print,,,
Mikrotik,/ip,cloud,set,enabled yes,,
Mikrotik,/ip,cloud,print,,,
Mikrotik,/system,watchdog,set,watchdog-timer yes,,
Mikrotik,/system,watchdog,print,,,
Mikrotik,/ip,traffic-flow,set,enabled yes,,
Mikrotik,/ip,traffic-flow,print,,,
Mikrotik,/ip,proxy,set,enabled yes,,
Mikrotik,/ip,proxy,print,,,
Mikrotik,/ip,upnp,set,enabled yes,,
Mikrotik,/ip,upnp,print,,,
Mikrotik,/interface,ppp-server,add,interface <interface>,,
Mikrotik,/interface,ppp-server,print,,,
Mikrotik,/ip,firewall,mangle add,chain prerouting action mark-connection,,
Mikrotik,/ip,firewall,mangle print,,,
Mikrotik,/ip,route,add,distance <value> gateway <ip-address>,,
Mikrotik,/ip,route,print,detail,,
Mikrotik,/ip,arp,add,address <ip-address> mac-address <mac>,,
Mikrotik,/ip,arp,print,detail,,
Mikrotik,/interface,ethernet,monitor,<interface>,,
Mikrotik,/interface,ethernet,print,detail,,
Mikrotik,/system,resource,print,,,
Mikrotik,/system,clock,print,,,
Mikrotik,/system,clock,set,time <time> date <date>,,
Mikrotik,/system,upgrade,print,,,
Mikrotik,/system,script,add,name <name> source <script>,,
Mikrotik,/system,script,print,,,
Mikrotik,/ip,firewall,filter add,chain forward action drop,,
Mikrotik,/ip,firewall,filter print,detail,,
Mikrotik,/ip,dhcp-server,lease print,,,
Mikrotik,/ip,dhcp-server,network add,address <network> gateway <ip-address>,,
Mikrotik,/ip,dhcp-server,network print,,,
Mikrotik,/ip,dns,static add,name <name> address <ip-address>,,
Mikrotik,/ip,dns,static print,,,
Mikrotik,/ip,ospf,area add,name <name> area-id <area-id>,,
Mikrotik,/ip,ospf,area print,,,
Mikrotik,/ip,bgp,advertise add,network <network> netmask <mask>,,
Mikrotik,/ip,bgp,advertise print,,,
Mikrotik,/ip,rip,neighbor print,,,
Mikrotik,/mpls,ldp,neighbor print,,,
Mikrotik,/interface,bridge,filter add,chain input action accept,,
Mikrotik,/interface,bridge,filter print,,,
Mikrotik,/ip,hotspot,user print,,,
Mikrotik,/ip,ipsec,proposal add,name <name>,,
Mikrotik,/ip,ipsec,proposal print,,,
Mikrotik,/ip,snmp,community add,name <name>,,
Mikrotik,/ip,snmp,community print,,,
Mikrotik,/system,logging,action add,name <name>,,
Mikrotik,/system,logging,action print,,,
Mikrotik,/interface,wireless,security-profiles add,name <name>,,
Mikrotik,/interface,wireless,security-profiles print,,,
Mikrotik,/ip,cloud,ddns print,,,
Mikrotik,/system,watchdog,reboot-now,,,
Mikrotik,/ip,traffic-flow,target add,address <ip-address>,,
Mikrotik,/ip,traffic-flow,target print,,,
Mikrotik,/ip,proxy,access add,src-address <network>,,
Mikrotik,/ip,proxy,access print,,,
Mikrotik,/ip,upnp,interfaces add,interface <interface>,,
Mikrotik,/ip,upnp,interfaces print,,,
Mikrotik,/interface,ppp-client,add,interface <interface>,,
Mikrotik,/interface,ppp-client,print,,,
Mikrotik,/ip,firewall,mangle add,chain postrouting action mark-packet,,
Mikrotik,/ip,firewall,mangle print,detail,,
