Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Anira,show,version,,,
Anira,show,running-config,,,
Anira,show,ip,interface,brief,
Anira,show,ip,route,,
Anira,show,arp,,,
Anira,show,interfaces,,,
Anira,show,vlan,,,
Anira,show,mac,address-table,,
Anira,configure,terminal,,,
Anira,hostname,<name>,,,
Anira,interface,<interface-type> <interface-number>,,,
Anira,interface,<interface-type> <interface-number>,ip address <address> <mask>,,
Anira,interface,<interface-type> <interface-number>,no shutdown,,
Anira,ip,route,<network> <mask> <next-hop>,,
Anira,vlan,<vlan-id>,,,
Anira,vlan,<vlan-id>,name <name>,,
Anira,switchport,mode,access,,
Anira,switchport,access,vlan <vlan-id>,,
Anira,switchport,mode,trunk,,
Anira,ping,<ip-address>,,,
Anira,traceroute,<ip-address>,,,
Anira,enable,,,,
Anira,disable,,,,
Anira,exit,,,,
Anira,end,,,,
Anira,help,,,,
Anira,?,,,, 
Anira,router,ospf,<process-id>,,
Anira,router,bgp,<as-number>,,
Anira,spanning-tree,mode,mstp,,
Anira,snmp-server,community,<string> ro,,
Anira,ntp,server,<ip-address>,,
Anira,logging,host,<ip-address>,,
Anira,ip,ssh,server,,
Anira,ip,http,server,,
Anira,aaa,authentication,login local,,
Anira,copy,running-config,startup-config,,
Anira,write,memory,,,
Anira,reload,,,,
Anira,debug,ip,ospf,,
Anira,undebug,all,,,
