Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Dell,configure,terminal,,,
Dell,hostname,<name>,,,
Dell,interface,ethernet <node/slot/port>,,,
Dell,interface,ethernet <node/slot/port>,ip address <address>/<prefix-length>,,
Dell,interface,ethernet <node/slot/port>,no shutdown,,
Dell,ip,route,<network>/<prefix-length> <next-hop>,,
Dell,show,running-configuration,,,
Dell,show,ip,interface,brief,
Dell,show,ip,route,,
Dell,show,arp,,,
Dell,router,ospf,<process-id>,,,
Dell,router,ospf,<process-id>,network <network>/<prefix-length> area <area-id>,,
Dell,router,bgp,<as-number>,,,
Dell,router,bgp,<as-number>,neighbor <ip-address> remote-as <as-number>,,
Dell,vlan,<vlan-id>,,,
Dell,vlan,<vlan-id>,name <name>,,
Dell,interface,vlan <vlan-id>,,,
Dell,interface,vlan <vlan-id>,ip address <address>/<prefix-length>,,
Dell,ping,<ip-address>,,,
Dell,traceroute,<ip-address>,,,
Dell,show,version,,,
Dell,show,interface,ethernet <node/slot/port>,,
Dell,show,interface,transceiver,,
Dell,ip,access-list,<name>,,,
Dell,ip,access-list,<name>,permit ip <source>/<prefix-length> <destination>/<prefix-length>,,
Dell,show,ip,access-list,,,
Dell,switchport,mode,access,,
Dell,switchport,access,vlan <vlan-id>,,
Dell,switchport,mode,trunk,,
Dell,switchport,trunk,allowed vlan <vlan-list>,,
Dell,show,vlan,,,
Dell,spanning-tree,mst,configuration,,
Dell,show,spanning-tree,mst,,
Dell,ip,dhcp,relay server <ip-address>,,
Dell,show,ip,dhcp,relay,,
Dell,show,mac,address-table,,
Dell,show,ip,ospf,neighbor,,
Dell,show,ip,bgp,summary,,
Dell,ip,vrf,<name>,,,
Dell,show,ip,vrf,,
Dell,ip,route,vrf <name> <network>/<prefix-length> <next-hop>,,
Dell,show,ip,route vrf <name>,,
Dell,snmp-server,community,<string> ro,,
Dell,show,snmp,community,,
Dell,ntp,server,<ip-address>,,
Dell,show,ntp,associations,,
Dell,logging,host,<ip-address>,,,
Dell,show,logging,,,
Dell,ip,http,server enable,,,
Dell,show,ip,http,server,,
Dell,ssh,server,enable,,
Dell,show,ssh,server,,
Dell,aaa,authentication,login local,,,
Dell,show,aaa,authentication,,
Dell,vlt,domain <id>,,,
Dell,vlt,domain <id>,peer-link port-channel <id>,,
Dell,show,vlt,domain <id>,,
Dell,ip,multicast-routing,,,
Dell,show,ip,mroute,,
Dell,ip,pim,sparse-mode,,
Dell,show,ip,pim,neighbor,,
Dell,ip,igmp,join-group <group-address>,,
Dell,show,ip,igmp,groups,,
Dell,ip,ospf,cost <value>,,
Dell,show,ip,ospf,interface,,
Dell,ip,bgp,community new-format,,
Dell,show,ip,bgp,community,,
Dell,ip,rip,version 2,,
Dell,show,ip,rip,database,,
Dell,interface,ethernet <node/slot/port>,mtu <value>,,
Dell,show,interface,mtu,,
Dell,interface,ethernet <node/slot/port>,description <text>,,
Dell,show,interface,description,,
Dell,ip,policy,route-map <name>,,
Dell,show,ip,policy,,
Dell,ip,sla,<id>,,,
Dell,show,ip,sla,,
Dell,ip,netflow,exporter <name> destination <ip-address> <port>,,
Dell,show,ip,netflow,,
Dell,ip,route,profile,,
Dell,show,ip,route,profile,,
Dell,ip,route,static adjust-time <seconds>,,
Dell,show,ip,static,route,,
Dell,ip,route,track <id>,,
Dell,show,ip,route,track,,
Dell,ip,route,fallback,,
Dell,show,ip,route,fallback,,
Dell,ip,route,summary,,
Dell,show,ip,route,summary,,
Dell,ip,route,suppress,,
Dell,show,ip,route,suppress,,
Dell,ip,route,tag <value>,,
Dell,show,ip,route,tag,,
Dell,ip,route,redistribute <protocol>,,
Dell,show,ip,route,redistribute,,
Dell,ip,route,preference <value>,,
Dell,show,ip,route,preference,,
Dell,ip,route,metric <value>,,
Dell,show,ip,route,metric,,
Dell,ip,route,distance <value>,,
Dell,show,ip,route,distance,,
Dell,ip,route,convergence,,
Dell,show,ip,route,convergence,,
Dell,ip,route,statistics,,
Dell,show,ip,route,statistics,,
Dell,ip,route,lookup,,
Dell,show,ip,route,lookup,,
Dell,ip,route,resolve,,
Dell,show,ip,route,resolve,,
Dell,ip,route,reachable,,
Dell,show,ip,route,reachable,,
Dell,ip,route,connected,,
Dell,show,ip,route,connected,,
Dell,ip,route,detail,,
Dell,show,ip,route,detail,,
Dell,ip,route,all,,
Dell,show,ip,route,all,,
Dell,ip,route,vrf <name> summary,,
Dell,show,ip,route,vrf <name> summary,,
Dell,ip,route,vrf <name> detail,,
Dell,show,ip,route,vrf <name> detail,,
Dell,ip,route,vrf <name> all,,
Dell,show,ip,route,vrf <name> all,,
Dell,ip,arp,gratuitous,,
Dell,show,arp,gratuitous,,
Dell,ip,arp,timeout <seconds>,,
Dell,show,arp,timeout,,
Dell,ip,arp,incomplete,,
Dell,show,arp,incomplete,,
Dell,ip,arp,proxy,,
Dell,show,arp,proxy,,
Dell,ip,arp,static,,
Dell,show,arp,static,,
Dell,ip,arp,summary,,
Dell,show,arp,summary,,
Dell,ip,arp,detail,,
Dell,show,arp,detail,,
Dell,ip,arp,statistics,,
Dell,show,arp,statistics,,
Dell,ip,arp,inspection,,
Dell,show,arp,inspection,,
Dell,ip,arp,vrf <name>,,
Dell,show,arp,vrf <name>,,
Dell,ip,arp,interface ethernet <node/slot/port>,,
Dell,show,arp,interface ethernet <node/slot/port>,,
Dell,ip,arp,cache,,
Dell,show,arp,cache,,
Dell,ip,arp,entry,,
Dell,show,arp,entry,,
Dell,ip,arp,table,,
Dell,show,arp,table,,
Dell,ip,arp,lookup,,
Dell,show,arp,lookup,,
Dell,ip,arp,resolve,,
Dell,show,arp,resolve,,
Dell,ip,arp,reachable,,
Dell,show,arp,reachable,,
Dell,ip,arp,connected,,
Dell,show,arp,connected,,
Dell,ip,arp,vrf <name> summary,,
Dell,show,arp,vrf <name> summary,,
Dell,ip,arp,vrf <name> detail,,
Dell,show,arp,vrf <name> detail,,
Dell,ip,arp,vrf <name> statistics,,
Dell,show,arp,vrf <name> statistics,,
Dell,ip,arp,vrf <name> inspection,,
Dell,show,arp,vrf <name> inspection,,
Dell,ip,arp,vrf <name> interface ethernet <node/slot/port>,,
Dell,show,arp,vrf <name> interface ethernet <node/slot/port>,,
Dell,ip,arp,vrf <name> cache,,
Dell,show,arp,vrf <name> cache,,
Dell,ip,arp,vrf <name> entry,,
Dell,show,arp,vrf <name> entry,,
Dell,ip,arp,vrf <name> table,,
Dell,show,arp,vrf <name> table,,
Dell,ip,arp,vrf <name> lookup,,
Dell,show,arp,vrf <name> lookup,,
Dell,ip,arp,vrf <name> resolve,,
Dell,show,arp,vrf <name> resolve,,
Dell,ip,arp,vrf <name> reachable,,
Dell,show,arp,vrf <name> reachable,,
Dell,ip,arp,vrf <name> connected,,
Dell,show,arp,vrf <name> connected,,
Dell,ip,ospf,authentication message-digest,,
Dell,show,ip,ospf,database,,
Dell,ip,bgp,maximum-paths <value>,,
Dell,show,ip,bgp,detail,,
Dell,ip,rip,authentication md5 <key>,,
Dell,show,ip,rip,interface,,
Dell,ip,vrf,forwarding <name>,,
Dell,show,ip,vrf,detail,,
Dell,ip,multicast,vrf <name>,,
Dell,show,ip,multicast,vrf <name>,,
Dell,ip,pim,vrf <name>,,
Dell,show,ip,pim,vrf <name>,,
Dell,ip,igmp,vrf <name>,,
Dell,show,ip,igmp,vrf <name>,,
Dell,ip,ospf,vrf <name>,,
Dell,show,ip,ospf,vrf <name>,,
Dell,ip,bgp,vrf <name>,,
Dell,show,ip,bgp,vrf <name>,,
Dell,ip,rip,vrf <name>,,
Dell,show,ip,rip,vrf <name>,,
Dell,ip,dhcp,pool <name>,,,
Dell,ip,dhcp,pool <name>,network <network>/<prefix-length>,,
Dell,show,ip,dhcp,binding,,
Dell,ip,dhcp,server,,
Dell,show,ip,dhcp,server,,
Dell,port-security,enable,,,
Dell,show,port-security,interface ethernet <node/slot/port>,,
Dell,evpn,enable,,,
Dell,show,evpn,,,
Dell,evpn,vni <vni>,,,
Dell,show,evpn,vni,,
Dell,ip,vrf,evpn,,
Dell,show,ip,vrf,evpn,,
Dell,ip,route,evpn,,
Dell,show,ip,route,evpn,,
Dell,ip,route,vrf <name> evpn,,
Dell,show,ip,route,vrf <name> evpn,,
Dell,ip,bgp,evpn,,
Dell,show,ip,bgp,evpn,,
Dell,ip,bgp,vrf <name> evpn,,
Dell,show,ip,bgp,vrf <name> evpn,,
Dell,interface,loopback <id>,,,
Dell,interface,loopback <id>,ip address <address>/<prefix-length>,,
Dell,show,interface,loopback <id>,,
Dell,ip,ospf,area <area-id> stub,,
Dell,show,ip,ospf,neighbor detail,,
Dell,ip,bgp,neighbor <ip-address> update-source <interface>,,
Dell,show,ip,bgp,neighbors,,
Dell,ip,rip,split-horizon,,
Dell,show,ip,rip,neighbor,,
Dell,interface,ethernet <node/slot/port>,speed <value>,,
Dell,show,interface,speed,,
Dell,interface,ethernet <node/slot/port>,duplex full,,
Dell,show,interface,duplex,,
Dell,ip,ospf,priority <value>,,
Dell,show,ip,ospf,interface detail,,
Dell,ip,bgp,maximum-prefix <value>,,
Dell,show,ip,bgp,summary detail,,
Dell,ip,rip,authentication text <key>,,
Dell,show,ip,rip,statistics,,
Dell,ip,dhcp,snooping,,
Dell,show,ip,dhcp,snooping,,
Dell,ip,dhcp,snooping vlan <vlan-id>,,
Dell,show,ip,dhcp,snooping vlan <vlan-id>,,
