Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Juniper,configure,,,,
Juniper,set,system,host-name <name>,,
Juniper,set,interfaces,<interface-name> unit <unit-number>,,
Juniper,set,interfaces,<interface-name> unit <unit-number>,family inet address <address>/<prefix-length>,
Juniper,set,protocols,ospf,,
Juniper,set,protocols,ospf,area <area-id> interface <interface-name>,
Juniper,set,protocols,bgp,group <group-name>,,
Juniper,set,protocols,bgp,group <group-name>,neighbor <ip-address>,
Juniper,set,routing-options,static route <network>/<prefix-length> next-hop <ip-address>,,
Juniper,commit,,,,
Juniper,show,configuration,,,
Juniper,show,interfaces,,,
Juniper,show,route,,,
Juniper,show,arp,,,
Juniper,show,ospf,neighbor,,
Juniper,show,bgp,summary,,
Juniper,ping,<ip-address>,,,
Juniper,traceroute,<ip-address>,,,
Juniper,set,vlans,vlan <vlan-id>,,
Juniper,set,vlans,vlan <vlan-id>,interface <interface-name>,
Juniper,show,vlans,,,
Juniper,set,security,policies,from-zone <zone> to-zone <zone> policy <name>,,
Juniper,set,security,policies,from-zone <zone> to-zone <zone> policy <name>,match source-address <address>,
Juniper,show,security,policies,,
Juniper,set,protocols,rip,group <group-name>,,
Juniper,show,rip,neighbor,,
Juniper,set,protocols,mpls,interface <interface-name>,,
Juniper,show,mpls,interface,,
Juniper,set,protocols,ldp,interface <interface-name>,,
Juniper,show,ldp,neighbor,,
Juniper,set,firewall,family inet filter <name>,,
Juniper,show,firewall,filter <name>,,
Juniper,set,system,ntp server <ip-address>,,
Juniper,show,ntp,associations,,
Juniper,set,snmp,community <name>,,
Juniper,show,snmp,statistics,,
Juniper,set,system,login user <name>,,
Juniper,show,system,users,,
Juniper,monitor,interface,<interface-name>,,
Juniper,show,interfaces,diagnostics optics,,
Juniper,set,protocols,igmp,interface <interface-name>,,
Juniper,show,igmp,group,,
Juniper,set,protocols,pim,interface <interface-name>,,
Juniper,show,pim,neighbors,,
Juniper,set,routing-options,router-id <ip-address>,,
Juniper,show,routing-options,,,
Juniper,set,protocols,isis,interface <interface-name>,,
Juniper,show,isis,adjacency,,
Juniper,set,protocols,rsvp,interface <interface-name>,,
Juniper,show,rsvp,interface,,
Juniper,set,policy-options,policy-statement <name>,,
Juniper,show,policy-options,policy-statement <name>,,
Juniper,set,protocols,ospf3,area <area-id> interface <interface-name>,,
Juniper,show,ospf3,neighbor,,
Juniper,set,protocols,bgp,group <group-name>,family inet unicast,
Juniper,show,bgp,group,,
Juniper,set,interfaces,<interface-name>,description <text>,,
Juniper,show,interfaces,descriptions,,
Juniper,set,system,syslog file <name>,,
Juniper,show,system,storage,,
Juniper,request,system,reboot,,
Juniper,show,system,uptime,,
Juniper,set,protocols,vrf,target <target>,,
Juniper,show,route,table <vrf>,,
Juniper,set,protocols,ospf,reference-bandwidth <value>,,
Juniper,show,ospf,overview,,
Juniper,set,protocols,bgp,local-as <as-number>,,
Juniper,show,bgp,neighbor,,
Juniper,set,interfaces,<interface-name>,mtu <value>,,
Juniper,show,interfaces,mtu,,
Juniper,monitor,traffic,interface <interface-name>,,
Juniper,show,interfaces,queue,,
Juniper,set,protocols,ospf,area <area-id> authentication md5 <key>,,
Juniper,show,ospf,database,,
Juniper,set,protocols,bgp,group <group-name>,export <policy>,,
Juniper,show,bgp,policy,,
Juniper,set,protocols,mpls,label-switched-path <name>,,
Juniper,show,mpls,lsp,,
Juniper,set,protocols,ldp,transport-address <ip-address>,,
Juniper,show,ldp,database,,
Juniper,set,security,nat,source rule-set <name>,,
Juniper,show,security,nat,source rule,,
Juniper,set,security,screen,ids-option <name>,,
Juniper,show,security,screen,statistics,,
Juniper,set,system,services ssh,,,
Juniper,show,system,services ssh,,
Juniper,request,system,logout user <name>,,
Juniper,show,system,connections,,
Juniper,set,protocols,ospf,area <area-id> stub,,
Juniper,show,ospf,interface,,
Juniper,set,protocols,bgp,group <group-name>,type external,
Juniper,show,bgp,group detail,,
Juniper,set,interfaces,<interface-name>,vlan-tagging,,
Juniper,show,interfaces,vlan,,
Juniper,set,protocols,rip,authentication md5 <key>,,
Juniper,show,rip,statistics,,
Juniper,set,protocols,mpls,traffic-engineering,,
Juniper,show,mpls,statistics,,
Juniper,set,protocols,ldp,egress-policy <policy>,,
Juniper,show,ldp,statistics,,
Juniper,set,firewall,family inet filter <name>,term <term-name>,,
Juniper,show,firewall,log,,
Juniper,set,system,login password,format sha1,,
Juniper,show,system,license,,
Juniper,request,system,storage cleanup,,
Juniper,show,system,statistics,,
Juniper,set,protocols,ospf,area <area-id> nssa,,
Juniper,show,ospf,log,,
Juniper,set,protocols,bgp,group <group-name>,multihop,,
Juniper,show,bgp,table,,
Juniper,set,interfaces,<interface-name>,family mpls,,
Juniper,show,interfaces,family mpls,,
Juniper,set,protocols,isis,level <level> authentication md5 <key>,,
Juniper,show,isis,database,,
Juniper,set,protocols,rsvp,bandwidth <value>,,
Juniper,show,rsvp,session,,
Juniper,set,policy-options,community <name> members <value>,,
Juniper,show,policy-options,community,,
Juniper,set,protocols,ospf3,realm <realm> interface <interface-name>,,
Juniper,show,ospf3,database,,
Juniper,set,protocols,bgp,group <group-name>,family inet6 unicast,
Juniper,show,bgp,group inet6,,
Juniper,monitor,interface,traffic,,
Juniper,show,interfaces,terse,,
Juniper,set,system,services ftp,,,
Juniper,show,system,services ftp,,
Juniper,request,system,halt,,
Juniper,show,system,buffers,,
Juniper,set,protocols,ospf,area <area-id> virtual-link neighbor-id <ip>,,
Juniper,show,ospf,statistics,,
Juniper,set,protocols,bgp,group <group-name>,authentication md5 <key>,,
Juniper,show,bgp,statistics,,
Juniper,set,interfaces,<interface-name>,speed <value>,,
Juniper,show,interfaces,media,,
Juniper,monitor,traffic,layer2-headers,,
Juniper,show,interfaces,extensive,,
Juniper,set,protocols,ospf,area <area-id> area-range <network>/<prefix-length>,,
Juniper,show,ospf,route,,
Juniper,set,protocols,bgp,group <group-name>,prefix-limit maximum <value>,,
Juniper,show,bgp,route,,
Juniper,set,protocols,mpls,explicit-null,,
Juniper,show,mpls,route,,
Juniper,set,protocols,ldp,interface <interface-name> hello-interval <seconds>,,
Juniper,show,ldp,interface,,
Juniper,set,security,nat,destination rule-set <name>,,
Juniper,show,security,nat,destination rule,,
Juniper,set,security,screen,ids-option <name> icmp sweep,,
Juniper,show,security,screen,ids-option,,
Juniper,set,system,services telnet,,,
Juniper,show,system,services telnet,,
Juniper,request,system,power-off,,
Juniper,show,system,processes,,
Juniper,set,protocols,ospf,area <area-id> no-summaries,,
Juniper,show,ospf,neighbor detail,,
Juniper,set,protocols,bgp,group <group-name>,keep all,,
Juniper,show,bgp,neighbor detail,,
Juniper,set,interfaces,<interface-name>,family iso,,
Juniper,show,interfaces,family iso,,
Juniper,set,protocols,isis,reference-bandwidth <value>,,
Juniper,show,isis,statistics,,
Juniper,set,protocols,rsvp,authentication key <key>,,
Juniper,show,rsvp,neighbor,,
Juniper,set,policy-options,prefix-list <name>,,
Juniper,show,policy-options,prefix-list,,
Juniper,set,protocols,ospf3,area <area-id> authentication md5 <key>,,
Juniper,show,ospf3,interface,,
Juniper,set,protocols,bgp,group <group-name>,family inet multicast,,
Juniper,show,bgp,group multicast,,
Juniper,monitor,interface,statistics,,
Juniper,show,interfaces,statistics,,
Juniper,set,system,services dhcp,,,
Juniper,show,system,services dhcp,,
Juniper,request,system,login user <name>,,
Juniper,show,system,alarms,,
Juniper,set,protocols,ospf,area <area-id> metric <value>,,
Juniper,show,ospf,area,,
Juniper,set,protocols,bgp,group <group-name>,local-preference <value>,,
Juniper,show,bgp,summary detail,,
Juniper,set,interfaces,<interface-name>,family ccc,,
Juniper,show,interfaces,family ccc,,
Juniper,set,protocols,isis,traffic-engineering,,
Juniper,show,isis,interface,,
Juniper,set,protocols,rsvp,interface <interface-name> bandwidth <value>,,
Juniper,show,rsvp,statistics,,
Juniper,set,policy-options,route-filter <network>/<prefix-length>,,
Juniper,show,policy-options,route-filter,,
Juniper,set,protocols,ospf3,area <area-id> virtual-link neighbor-id <ip>,,
Juniper,show,ospf3,statistics,,
